Canopy,MomID,OffID,Latitude,Longitude,G8,H18,N5,N10,O5,,,,,
Blowdown,468,0,37.331748,-77.209550,160,164,110,116,124,124,198,202,181,193
Blowdown,468,1,37.331748,-77.209550,164,180,114,116,124,124,-9,-9,-9,-9
Blowdown,468,2,37.331748,-77.209550,164,180,-9,-9,124,124,-9,-9,-9,-9
Blowdown,468,3,37.331748,-77.209550,164,188,116,122,-9,-9,198,202,179,193
Blowdown,468,4,37.331748,-77.209550,154,164,110,112,124,124,198,202,179,193
Blowdown,468,5,37.331748,-77.209550,164,164,116,116,124,124,198,202,193,193
Blowdown,468,6,37.331748,-77.209550,164,182,114,116,124,124,198,198,179,181
Blowdown,468,7,37.331748,-77.209550,164,164,104,116,-9,-9,202,202,181,181
Blowdown,468,8,37.331748,-77.209550,164,190,110,112,-9,-9,202,202,193,193
Blowdown,468,9,37.331748,-77.209550,154,164,-9,-9,-9,-9,202,202,-9,-9
Blowdown,468,10,37.331748,-77.209550,164,182,110,112,124,124,198,202,181,193
Blowdown,468,11,37.331748,-77.209550,164,164,116,122,-9,-9,198,202,193,193
Blowdown,468,12,37.331748,-77.209550,160,180,-9,-9,124,124,198,202,179,193
Blowdown,468,13,37.331748,-77.209550,164,190,116,118,-9,-9,198,202,179,181
Blowdown,468,14,37.331748,-77.209550,164,182,110,112,-9,-9,202,202,181,193
Blowdown,468,15,37.331748,-77.209550,164,190,108,110,-9,-9,202,202,179,181
Blowdown,468,16,37.331748,-77.209550,-9,-9,102,116,124,124,190,198,193,193
Blowdown,468,17,37.331748,-77.209550,164,182,-9,-9,124,124,202,202,179,193
Blowdown,468,18,37.331748,-77.209550,-9,-9,116,116,124,124,198,204,179,193
Blowdown,468,19,37.331748,-77.209550,154,164,104,110,124,124,202,202,193,195
Blowdown,468,20,37.331748,-77.209550,154,164,104,110,124,124,188,202,193,193
Blowdown,468,21,37.331748,-77.209550,164,164,104,116,124,124,198,202,179,193
Blowdown,468,22,37.331748,-77.209550,154,164,116,118,124,124,198,198,181,195
Blowdown,468,23,37.331748,-77.209550,164,180,114,116,124,124,202,202,193,193
Blowdown,468,24,37.331748,-77.209550,164,182,114,116,124,124,184,198,193,195
Blowdown,468,25,37.331748,-77.209550,-9,-9,-9,-9,124,124,198,198,181,193
Blowdown,468,26,37.331748,-77.209550,164,190,110,112,124,124,198,198,179,181
Blowdown,468,27,37.331748,-77.209550,164,164,-9,-9,124,124,-9,-9,-9,-9
Blowdown,468,28,37.331748,-77.209550,154,164,-9,-9,124,124,188,198,181,181
