Region,Site,ID,Latitude,Longitude,LFY,WXY,PIST,ADH,RPB2,,,,,
North,Site-88,1,29.32541,-114.29353,1,1,2,2,1,2,1,1,1,1
North,Site-88,2,29.32541,-114.29353,1,1,1,2,1,2,1,1,1,1
North,Site-88,3,29.32541,-114.29353,1,1,2,2,1,1,1,1,1,1
North,Site-88,4,29.32541,-114.29353,1,1,2,2,3,3,1,1,1,2
North,Site-88,5,29.32541,-114.29353,1,1,1,2,-9,-9,1,1,1,2
North,Site-88,6,29.32541,-114.29353,1,1,1,2,1,1,1,1,1,1
North,Site-88,7,29.32541,-114.29353,1,1,2,2,1,1,1,2,1,1
North,Site-88,8,29.32541,-114.29353,1,2,2,2,1,3,1,1,1,1
North,Site-88,9,29.32541,-114.29353,1,1,2,2,1,1,1,1,1,2
North,Site-88,10,29.32541,-114.29353,1,1,1,2,1,1,1,1,1,2
North,Site-9,2,29.01457,-113.944858,1,1,-9,-9,1,1,1,2,1,2
North,Site-9,4,29.01457,-113.944858,1,1,1,2,1,2,1,2,1,1
North,Site-9,10,29.01457,-113.944858,1,1,2,2,1,1,1,2,1,1
North,Site-84,1,28.96651,-113.66787,1,1,2,2,1,3,1,1,1,1
North,Site-84,2,28.96651,-113.66787,1,1,1,2,3,3,1,1,1,1
North,Site-84,3,28.96651,-113.66787,1,1,1,2,1,3,1,1,1,2
North,Site-84,4,28.96651,-113.66787,1,1,1,2,1,1,1,1,1,1
North,Site-84,5,28.96651,-113.66787,1,1,1,2,3,3,1,1,1,2
North,Site-84,6,28.96651,-113.66787,1,2,1,2,3,3,1,1,2,2
North,Site-84,7,28.96651,-113.66787,1,1,1,2,1,3,1,1,1,1
North,Site-84,8,28.96651,-113.66787,1,1,1,2,1,1,1,1,1,2
North,Site-84,9,28.96651,-113.66787,1,1,2,2,3,3,1,1,1,1
North,Site-84,10,28.96651,-113.66787,1,1,2,2,1,3,1,1,1,1
North,Site-89,21,28.03661,-113.39991,1,1,2,2,1,1,1,2,1,1
North,Site-89,22,28.03661,-113.39991,1,2,1,1,1,1,1,1,2,2
North,Site-89,23,28.03661,-113.39991,1,1,1,2,1,1,1,1,1,2
North,Site-89,24,28.03661,-113.39991,1,1,1,2,1,2,1,1,2,2
North,Site-89,25,28.03661,-113.39991,1,1,1,1,1,1,1,1,2,2
North,Site-89,26,28.03661,-113.39991,1,1,1,2,1,3,1,1,1,2
North,Site-89,27,28.03661,-113.39991,1,1,2,2,1,1,1,1,1,1
North,Site-89,28,28.03661,-113.39991,1,1,1,1,1,1,1,1,1,1
North,Site-89,29,28.03661,-113.39991,1,1,1,2,1,1,1,2,1,2
North,Site-89,30,28.03661,-113.39991,1,1,1,2,1,3,1,2,1,2
North,Site-12,1,27.182317,-112.665516,1,2,1,2,1,1,1,1,1,1
North,Site-12,3,27.182317,-112.665516,1,1,1,2,1,1,1,1,1,1
North,Site-12,4,27.182317,-112.665516,1,1,2,2,1,3,1,1,1,2
North,Site-12,5,27.182317,-112.665516,1,1,1,1,1,1,1,1,1,2
North,Site-12,6,27.182317,-112.665516,1,1,2,2,1,3,1,1,1,2
North,Site-12,7,27.182317,-112.665516,1,1,1,2,1,1,1,1,2,2
North,Site-12,8,27.182317,-112.665516,1,1,1,1,1,3,1,1,2,2
North,Site-12,9,27.182317,-112.665516,1,1,1,2,1,1,1,1,1,2
North,Site-12,10,27.182317,-112.665516,1,1,2,2,1,1,1,1,1,1
North,Site-93,1,26.94589,-112.04613,1,1,2,2,1,1,1,1,1,1
North,Site-93,2,26.94589,-112.04613,1,1,1,2,1,1,1,1,1,2
North,Site-93,3,26.94589,-112.04613,1,1,1,1,1,1,1,1,1,2
North,Site-93,4,26.94589,-112.04613,1,2,1,2,-9,-9,1,1,1,1
North,Site-93,5,26.94589,-112.04613,1,1,1,2,1,1,1,1,1,1
North,Site-93,6,26.94589,-112.04613,1,1,1,1,1,3,1,1,1,1
North,Site-93,7,26.94589,-112.04613,1,1,2,2,1,1,1,1,1,1
North,Site-93,8,26.94589,-112.04613,1,1,2,2,1,1,1,1,1,1
North,Site-93,9,26.94589,-112.04613,1,1,1,1,1,1,1,1,1,2
North,Site-93,10,26.94589,-112.04613,1,1,2,2,1,1,1,1,1,2
Mid,Site-58,6,26.0155,-111.35475,1,1,1,2,1,3,1,1,2,2
Mid,Site-58,8,26.0155,-111.35475,1,1,1,2,3,3,1,1,1,2
Mid,Site-58,9,26.0155,-111.35475,1,1,1,1,1,2,1,1,2,2
Mid,Site-58,10,26.0155,-111.35475,1,1,1,1,1,3,1,1,1,2
Mid,Site-64,2,25.60521,-111.32638,1,1,1,2,1,1,1,1,1,1
Mid,Site-64,3,25.60521,-111.32638,1,1,1,2,1,1,1,1,1,1
Mid,Site-64,4,25.60521,-111.32638,1,1,2,2,1,1,1,1,1,1
Mid,Site-64,13,25.60521,-111.32638,1,2,1,2,1,1,1,1,1,1
Mid,Site-51,1,25.34819,-111.60056,1,1,1,2,1,2,1,1,2,2
Mid,Site-51,2,25.34819,-111.60056,1,1,1,2,1,1,1,1,2,2
Mid,Site-51,3,25.34819,-111.60056,1,1,1,2,1,1,1,1,1,2
Mid,Site-51,4,25.34819,-111.60056,1,1,-9,-9,1,1,1,1,1,2
Mid,Site-51,5,25.34819,-111.60056,1,1,-9,-9,1,1,1,1,1,1
Mid,Site-51,6,25.34819,-111.60056,1,1,1,2,1,2,1,1,2,2
Mid,Site-51,7,25.34819,-111.60056,1,1,1,2,1,1,1,1,1,2
Mid,Site-51,8,25.34819,-111.60056,1,1,2,2,1,1,1,1,1,1
Mid,Site-51,9,25.34819,-111.60056,1,1,1,2,1,1,1,1,1,2
Mid,Site-51,11,25.34819,-111.60056,1,1,2,2,1,1,1,1,1,1
Mid,Site-77,1,24.87611,-110.69175,1,2,-9,-9,1,2,1,1,1,2
Mid,Site-77,2,24.87611,-110.69175,1,1,-9,-9,1,1,1,1,1,2
Mid,Site-77,3,24.87611,-110.69175,1,1,1,2,1,1,1,1,1,1
Mid,Site-77,4,24.87611,-110.69175,1,2,2,2,1,2,1,1,1,1
Mid,Site-77,5,24.87611,-110.69175,1,1,2,2,1,1,1,1,2,2
Mid,Site-77,6,24.87611,-110.69175,1,1,2,2,1,1,1,1,2,2
Mid,Site-77,7,24.87611,-110.69175,1,2,1,2,1,1,1,1,1,2
Mid,Site-77,8,24.87611,-110.69175,1,2,1,2,1,1,1,1,1,2
Mid,Site-77,9,24.87611,-110.69175,1,1,2,2,1,1,1,1,1,2
Mid,Site-77,10,24.87611,-110.69175,1,2,2,2,1,2,1,1,1,1
Mid,Site-77,22,24.87611,-110.69175,1,2,2,2,1,2,1,1,1,2
Mid,Site-75,18,24.58843,-110.74599,1,1,2,2,1,1,1,1,1,1
Mid,Site-75,19,24.58843,-110.74599,1,1,1,2,1,1,1,1,1,1
Mid,Site-75,21,24.58843,-110.74599,1,1,2,2,1,1,1,1,1,2
Mid,Site-75,22,24.58843,-110.74599,1,1,2,2,1,1,1,1,1,2
Mid,Site-75,23,24.58843,-110.74599,1,2,1,2,1,1,1,1,1,2
Mid,Site-75,24,24.58843,-110.74599,1,1,2,2,1,1,1,1,1,1
Mid,Site-75,25,24.58843,-110.74599,1,2,1,2,1,1,1,2,1,2
Mid,Site-75,26,24.58843,-110.74599,1,2,1,2,1,1,1,1,1,1
Mid,Site-43,1,23.08,-110.03,1,1,2,2,1,1,1,1,1,1
Mid,Site-43,2,23.08,-110.03,-9,-9,2,2,1,1,1,1,1,2
Mid,Site-43,9,23.08,-110.03,1,1,2,2,1,1,1,1,1,2
Cape,Site-48,2,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-48,3,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-48,4,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-48,6,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-48,8,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,3
Cape,Site-48,9,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-48,10,24.30117,-110.37683,1,1,2,2,1,1,1,1,1,1
Cape,Site-73,1,24.007894,-109.85071,1,2,2,2,1,1,1,1,1,1
Cape,Site-73,2,24.007894,-109.85071,1,1,2,2,1,1,1,1,1,1
Cape,Site-73,5,24.007894,-109.85071,1,2,2,2,1,1,1,1,1,1
Cape,Site-73,7,24.007894,-109.85071,1,1,2,2,1,1,1,1,1,2
Cape,Site-73,8,24.007894,-109.85071,1,2,2,2,1,1,1,1,1,1
Cape,Site-73,9,24.007894,-109.85071,1,2,2,2,1,1,1,1,1,1
Cape,Site-73,10,24.007894,-109.85071,1,2,2,2,1,1,1,1,1,2
Cape,Site-98,1,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,2,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,3,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,4,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,5,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,6,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,7,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,8,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,9,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,11,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,1
Cape,Site-98,18,23.0757,-109.64869,1,1,2,2,1,1,1,1,1,2
